,yad_no,view_cnt,count_train_log,count_train_label,count_test_log,total_room_cnt,wid_cd,ken_cd,lrg_cd,sml_cd,rate1,rate2,train_last_count,bus_le
10,11,1.0,1.0,1.0,0.0,12.0,46e33861f921c3e38b81998fbf283f01,c86352f5b57e80fe545cfec1fd8505a1,f7fc8c414fb2528ecffe882510e33dda,05ad22285893e47bb828cf9b481168db,1.0,0.9090909090909091,1,ビジネス
11,12,2.0,8.0,1.0,2.0,16.0,d86102dd9c232bade9a97dccad40df48,b4d2fb4e51ea7bca80eb1270aa474a54,29b680542fd3969fea768bfba1d0b50a,d0e540434c631a859eaa5ddf711bd3ff,0.6111111111111112,0.6666666666666666,6,観光
12,13,0.0,2.0,0.0,1.0,8.0,43875109d1dab93592812c50d18270a7,6d279eafce12f1a118fe7cbaa74f105a,6c209dfbf525d9b834261ac3c34a5d13,57ddb260797b048b6f2f392276aebc71,0.8333333333333334,0.9166666666666666,2,0
13,14,0.0,1.0,0.0,0.0,10.0,89e181a40914767dfee00fa2b7c2dcb5,2b99151dba9558109a35c75a3c05c38b,61aae17ef4b58e1594a977785ff8de63,78ca574101eaa0ec29f625287be1e946,0.9090909090909091,0.9090909090909091,1,0
14,15,2.0,4.0,3.0,0.0,153.0,b07b75d367ebece55a23ceecc939fff4,0a66f6ab9c0507059da6f22a0e1f1690,386458868487abfe07a5c994c847972c,6b8353b07a869dfc8f394a6b3b6e8778,0.9285714285714286,0.7142857142857143,2,観光
15,16,1.2,12.0,5.0,5.0,51.0,c312e07b7a5d456d53a5b00910a336e1,6692a692f80687411022c08e4f5a7a00,fc160f9e0b2f64c60d9b1131033de620,b20c7bd8854e556be308bbe9b39431f0,0.6818181818181818,0.6818181818181818,10,ビジネスミドル
16,17,1.0,2.0,1.0,0.0,29.0,d86102dd9c232bade9a97dccad40df48,b4d2fb4e51ea7bca80eb1270aa474a54,e0805722378d397418dcb6e6a9b3bf9e,61e5fd67b427ad4363706dc6064beab9,0.9166666666666666,0.8333333333333334,2,ビジネス
17,18,0.0,2.0,0.0,2.0,25.0,b07b75d367ebece55a23ceecc939fff4,0a66f6ab9c0507059da6f22a0e1f1690,0dbb24594ba15fad6625d9cfa2f198a4,7d4cba769884ac2128d99a707776b42b,0.8333333333333334,1.0,2,0
18,19,0.0,2.0,0.0,1.0,34.0,f0112abf369fb03cdc5f5309300913da,bd054cc265d68a400ccb976ac69c6463,1949c8b055b9d70b4ac16eb7b046b236,18de7ad118a65e8f3e8d4404008c1f0c,0.8333333333333334,0.9166666666666666,2,0
19,20,1.5,5.0,2.0,3.0,7.0,43875109d1dab93592812c50d18270a7,3b09a7ce9934c00fd266f9cf246308d1,2f9e541c8c5b4e1e0b40e7812b31a081,ea7d9296a50771d5ebe99989ab1e950d,0.8,0.8666666666666667,4,観光
20,21,1.0,9.0,5.0,23.0,119.0,c312e07b7a5d456d53a5b00910a336e1,543ea7c443fdfd779bbd557f2ad99d80,1a6431e2fa6aada2ffc2be8144fc067a,154522e91b88aed9090a369ad0a6ae4b,0.7894736842105263,1.736842105263158,9,ビジネス
21,22,0.0,1.0,0.0,0.0,7.0,dc414a17890cfc17d011d5038b88ca93,6920865be128aa14814810654738b159,1135aa8cfd453083810cf2960c66e0aa,5f85705268e3e69049846ff50b63b2ac,0.9090909090909091,0.9090909090909091,1,0
22,23,1.34,81.0,50.0,43.0,104.0,46e33861f921c3e38b81998fbf283f01,107c7305a74c8dcc4f143de208bf7ec2,3a6cd37aa9e38fd96d9dafc2615643d0,2ffd60eb648dbbaa1d1ba33644813c44,0.6593406593406593,0.5824175824175825,59,観光ミドル
23,24,1.1428571428571428,36.0,14.0,36.0,180.0,46e33861f921c3e38b81998fbf283f01,107c7305a74c8dcc4f143de208bf7ec2,3a6cd37aa9e38fd96d9dafc2615643d0,2ffd60eb648dbbaa1d1ba33644813c44,0.5217391304347826,1.0,32,ビジネスミドル
24,25,1.2790697674418605,55.0,43.0,51.0,149.0,46e33861f921c3e38b81998fbf283f01,c86352f5b57e80fe545cfec1fd8505a1,2e35ef11a402c4687ced0fde49e628ea,1e011cd809001193eb57ad8fcec3b67d,0.8153846153846154,0.9384615384615385,44,ビジネスミドル
25,26,1.0,1.0,2.0,0.0,20.0,8a1c0d3243bba111cbcd1ec6c692dc6d,ce83563814cff3080c8ae076f44b3020,230a892f40289e7e792aefa543c93326,1ff395b8e51454d0de1e0497700a2145,1.0909090909090908,0.9090909090909091,1,ビジネス
26,27,1.3333333333333333,14.0,15.0,0.0,54.0,8a1c0d3243bba111cbcd1ec6c692dc6d,ce83563814cff3080c8ae076f44b3020,985387113a5ef05e4e4c1f4720b3624c,168562f6e4aff482fc88c4ed2aae1a73,1.0416666666666667,0.4166666666666667,9,観光ミドル
27,28,1.6224489795918366,128.0,98.0,91.0,326.0,f0112abf369fb03cdc5f5309300913da,bd054cc265d68a400ccb976ac69c6463,c3e3c099b1eec7d35ee7b851620d7158,dd14f839ed09692ea48eae5d68ea3468,0.782608695652174,0.7318840579710145,72,観光
28,29,1.25,5.0,4.0,3.0,8.0,3300cf6f774b7c6a5807110f244cbc21,013592a15b9a689232792f11da797ac7,3db7301525fb3bc026edf7846eae7827,b8a4aaa1954614dee2ed2422b6b670bd,0.9333333333333333,0.8666666666666667,4,ビジネスミドル
29,30,1.2857142857142858,13.0,7.0,5.0,42.0,3300cf6f774b7c6a5807110f244cbc21,7bc5fba93082f02f1cc37b7fa264d291,54c9d3183b8cc2e7c76d8450f7bab522,677e82825c47001f72241e1d12d3f4ee,0.7391304347826086,0.6521739130434783,10,ビジネスミドル
30,31,1.0,2.0,1.0,3.0,37.0,3300cf6f774b7c6a5807110f244cbc21,689cf8289e7ea0b2eef1b017dcdfe8de,f060146bdffa635d84b3a6e73252b679,1d132685342e53e8be338830a51a29db,0.9166666666666666,1.0833333333333333,2,ビジネス
31,32,1.3272727272727274,56.0,55.0,14.0,80.0,e9316013ee1b03f4525fe361c46ce9c5,84efa50e52f9b471c95bfc3b21b854ad,6991a9d2e7fe401f74af36167101993d,51450d88ac85e2be3a907e2ac6a25014,0.9848484848484849,0.36363636363636365,39,観光ミドル
32,33,1.0,3.0,2.0,2.0,29.0,e9316013ee1b03f4525fe361c46ce9c5,84efa50e52f9b471c95bfc3b21b854ad,2172055af24fe5ee9a888f51da39aa03,8e9594fd1922fd26ac85b680e30825f8,0.9230769230769231,0.9230769230769231,3,ビジネス
33,34,1.1818181818181819,27.0,11.0,8.0,8.0,f0112abf369fb03cdc5f5309300913da,bd054cc265d68a400ccb976ac69c6463,5b1499dd1a709e37096d7d65d1208f66,572047925810f3e34b4e028512809c88,0.5675675675675675,0.4864864864864865,25,ビジネスミドル
34,35,1.4285714285714286,23.0,14.0,5.0,49.0,dc414a17890cfc17d011d5038b88ca93,31a0f630d36db568ab23c9c1cd80d1c1,ff6cf77545873220271ee1894fbe85ed,84f68cfdd2aa78487fa602dfa9710446,0.7272727272727273,0.45454545454545453,19,観光ミドル
35,36,1.1,9.0,10.0,3.0,24.0,d86102dd9c232bade9a97dccad40df48,b4d2fb4e51ea7bca80eb1270aa474a54,5c9a8f48e9df0234da012747a02d4b29,4ee16ee838dd2703cc9a1d5a535f0ced,1.0526315789473684,0.6842105263157895,8,ビジネスミドル
36,37,1.2666666666666666,11.0,15.0,78.0,400.0,f0112abf369fb03cdc5f5309300913da,ce3aaf25e7e38a0c42d373fb148efc86,b94b1624f29aceb6511babed280db4d7,8cb854e17cd42e2b44f0c603da4608d4,1.1904761904761905,4.190476190476191,7,ビジネスミドル
37,38,1.1578947368421053,23.0,19.0,17.0,60.0,46e33861f921c3e38b81998fbf283f01,107c7305a74c8dcc4f143de208bf7ec2,d3ee2b151edf76a1afe1993bee2e6614,92a9f7b7a985edaa933c35a095b268f2,0.8787878787878788,0.8181818181818182,20,ビジネスミドル
38,39,1.3888888888888888,59.0,36.0,32.0,98.0,f0112abf369fb03cdc5f5309300913da,072c85e1653e10c9c7dd065ad007125a,810a15fb99b13cded44cc30ccf6f61a8,bacd9adfafe9ef2ab4aad55e6d99f09c,0.6666666666666666,0.6086956521739131,44,観光ミドル
39,40,1.0,2.0,1.0,0.0,16.0,46e33861f921c3e38b81998fbf283f01,572d60f0f5212aacda515ebf81fb0a3a,2e63024b11908f3729510051a6fc7d9e,f7d1735ac503356d6d6e7e88e069f365,0.9166666666666666,0.8333333333333334,2,ビジネス
40,41,1.3333333333333333,4.0,3.0,2.0,13.0,dc414a17890cfc17d011d5038b88ca93,6920865be128aa14814810654738b159,1033c846fb31b08ff723d68ff17f5294,69916a1fb9c5b4db92add1f92454711f,0.9285714285714286,0.8571428571428571,3,観光ミドル
41,42,1.0,6.0,1.0,8.0,10.0,46e33861f921c3e38b81998fbf283f01,572d60f0f5212aacda515ebf81fb0a3a,ca6f66ef80cb6607b676993291fe2afc,cb97e3782bd46ceab6cf446f1b4c57a0,0.6875,1.125,6,ビジネス
42,43,1.4339622641509433,122.0,53.0,30.0,54.0,f0112abf369fb03cdc5f5309300913da,072c85e1653e10c9c7dd065ad007125a,06cdfa18559e54e94da2d9524c0d8e86,5e52f51baa60e36618f46a225cf961e5,0.4772727272727273,0.30303030303030304,84,観光ミドル
43,44,1.4545454545454546,20.0,11.0,4.0,40.0,46e33861f921c3e38b81998fbf283f01,107c7305a74c8dcc4f143de208bf7ec2,d3ee2b151edf76a1afe1993bee2e6614,92a9f7b7a985edaa933c35a095b268f2,0.7,0.4666666666666667,13,観光ミドル
44,45,1.5263157894736843,29.0,19.0,36.0,91.0,46e33861f921c3e38b81998fbf283f01,83522288daa2f3a0010f79df27c38ea5,f0073125ea72d8fd9ec953190279c4ac,53803d41067fa89d13b1a906c1f5af9d,0.7435897435897436,1.1794871794871795,16,観光
45,46,1.6666666666666667,34.0,15.0,30.0,41.0,c312e07b7a5d456d53a5b00910a336e1,543ea7c443fdfd779bbd557f2ad99d80,4e32a522ff4e84772b8906f124acc4cc,57c9579ebca0519c986fbf054282b6db,0.5681818181818182,0.9090909090909091,25,観光
46,47,1.475,80.0,80.0,55.0,139.0,46e33861f921c3e38b81998fbf283f01,107c7305a74c8dcc4f143de208bf7ec2,d91d5d5ccafec0ee0ec2941caac895ce,ef8e39a2c0aa1681677f33c0b145629e,1.0,0.7222222222222222,49,観光
47,48,1.0,2.0,4.0,0.0,8.0,8a1c0d3243bba111cbcd1ec6c692dc6d,ea4e9c80303b41bfaaf1b252a29a5ae4,44b107b6abde894a07d16821c9ec1273,fef70e5dd9cd8dd52fddd098de540d34,1.1666666666666667,0.8333333333333334,2,ビジネス
48,49,1.5909090909090908,40.0,22.0,29.0,130.0,e9316013ee1b03f4525fe361c46ce9c5,06a6febd7478c1aa664ed5ac87f2d560,cc300a8f5e4e301891db7e1c9242c92f,4f235b49418ce04ff8bb5e1ee38ac03f,0.64,0.78,23,観光
49,50,1.6923076923076923,67.0,39.0,30.0,83.0,321b69d5eec98fe6253e26b86058e6a9,39c3eb151762dd35cf50e8bde404ae74,605372c9e25f4364186fb90675fa80ea,bb3575c08ed254c5f01776ecfeb6297e,0.6363636363636364,0.5194805194805194,40,観光
50,51,1.0,1.0,1.0,1.0,9.0,8a1c0d3243bba111cbcd1ec6c692dc6d,94d4f7dc1971d3473e6ed039a323bf4d,07626423add73e64eff69437c48486b8,cfa544986037fa81ce47bcc5b0c47426,1.0,1.0,1,ビジネス
51,52,1.1842105263157894,43.0,38.0,14.0,,e9316013ee1b03f4525fe361c46ce9c5,517061b8165aa6370d9025951a64aa52,5292f57c6ffd072df5730686ecc62fa9,8a04ba33486c0b326fa0c795922a14d9,0.9056603773584906,0.4528301886792453,36,ビジネスミドル
52,53,0.0,3.0,0.0,4.0,55.0,c312e07b7a5d456d53a5b00910a336e1,a1b872e7729b0fa33e1099288384588a,4f5e37e16dcf9c8b1f074d1794654f34,c36ee05a7a22584b577f0b33523cd4ca,0.7692307692307693,1.0769230769230769,3,0
53,54,1.2727272727272727,22.0,11.0,45.0,216.0,e9316013ee1b03f4525fe361c46ce9c5,66c4d01ad8e30155582cf80b1d655986,7763c74e2efa67a522125d9d3d7dde25,084c46af580a4871ae2a4921addf6e8e,0.65625,1.71875,19,ビジネスミドル
54,55,1.2272727272727273,33.0,22.0,18.0,27.0,dc414a17890cfc17d011d5038b88ca93,6920865be128aa14814810654738b159,654d61673e3877a9ee401c820a3c0fcc,37bd7a64da78ddc62160efecd33e22c1,0.7441860465116279,0.6511627906976745,28,ビジネスミドル
55,56,1.3076923076923077,27.0,26.0,23.0,50.0,f0112abf369fb03cdc5f5309300913da,ade0e32ad9713b41613b242ba618f776,be0d7b5c5609df2a03a058d059ffffd0,b789bfdffca6a07f08ca577fa108f99a,0.972972972972973,0.8918918918918919,19,観光ミドル
56,57,0.0,2.0,0.0,0.0,78.0,b07b75d367ebece55a23ceecc939fff4,0a66f6ab9c0507059da6f22a0e1f1690,b7bc640833cc20ea0589896701863a85,637c7ce61d38387ab09b58ca335f22ba,0.8333333333333334,0.8333333333333334,2,0
57,58,1.25,5.0,8.0,12.0,26.0,e9316013ee1b03f4525fe361c46ce9c5,66c4d01ad8e30155582cf80b1d655986,1476be8d946a74a280b6b980fd17c6a7,26134995fa60df292b228fb068adc325,1.2,1.4666666666666666,3,ビジネスミドル
58,59,1.5,4.0,2.0,0.0,,f0112abf369fb03cdc5f5309300913da,bd054cc265d68a400ccb976ac69c6463,c3e3c099b1eec7d35ee7b851620d7158,8db3cedd254d3aeeab3521c4d1af78c5,0.8571428571428571,0.7142857142857143,3,観光
59,60,1.4615384615384615,10.0,13.0,10.0,55.0,f0112abf369fb03cdc5f5309300913da,fec19ba0016c012f3a06360cfff6da32,555cbd53ba796790c61d43d444be2769,bb22d2da57ddfe59ae9897041f541f64,1.15,1.0,5,観光
60,61,1.5,3.0,2.0,3.0,,b07b75d367ebece55a23ceecc939fff4,0a66f6ab9c0507059da6f22a0e1f1690,333bcf3094c1cacf1615436a69c1bcdd,9044072e8169ea5404ab423c3307c963,0.9230769230769231,1.0,2,観光
61,62,1.3444444444444446,96.0,90.0,92.0,250.0,c312e07b7a5d456d53a5b00910a336e1,6692a692f80687411022c08e4f5a7a00,8cf750072f8520a726ff601894c2d39e,ddd5616ecb2d2c35c8ac403db5804ef4,0.9433962264150944,0.9622641509433962,71,観光ミドル
62,63,1.1428571428571428,44.0,42.0,20.0,100.0,dc414a17890cfc17d011d5038b88ca93,d78f53d0856617bc782f02c3280dfef2,e5cfcc0a43c82072aca11628ff0add53,e2f51242791849e72240784844876b89,0.9629629629629629,0.5555555555555556,38,ビジネスミドル
63,64,0.0,3.0,0.0,15.0,33.0,f0112abf369fb03cdc5f5309300913da,470fa9ac04f80c7e13db398668e124bf,ec7a53281bcedd008a7baf547a5c4f4e,83e662f358c404631d16491411868fa1,0.7692307692307693,1.9230769230769231,3,0
64,65,1.1111111111111112,22.0,27.0,20.0,87.0,46e33861f921c3e38b81998fbf283f01,107c7305a74c8dcc4f143de208bf7ec2,d153c8fd78bfad6faadf8e769e5cb314,93bb8a3bdcfb298251b12efa3067d44f,1.15625,0.9375,19,ビジネスミドル
65,66,1.5,2.0,2.0,0.0,9.0,b07b75d367ebece55a23ceecc939fff4,0a66f6ab9c0507059da6f22a0e1f1690,8b89009a841db66044d5a5c7e1cc132e,1295c124f6d67cee8d621b2c2b735a04,1.0,0.8333333333333334,1,観光
66,67,1.0,4.0,3.0,5.0,100.0,f0112abf369fb03cdc5f5309300913da,fec19ba0016c012f3a06360cfff6da32,c1bed1428faabe0cceebb7520eb3a1e4,5ec4636ddf65cca7f3124aaf0ba4c27c,0.9285714285714286,1.0714285714285714,4,ビジネス
67,68,1.25,8.0,4.0,4.0,55.0,f0112abf369fb03cdc5f5309300913da,fec19ba0016c012f3a06360cfff6da32,9cb0bdd21ca9dbfe240a8878fba58c40,4e1d384ad60758db28f12dc7b704cb27,0.7777777777777778,0.7777777777777778,6,ビジネスミドル
68,69,1.0,2.0,1.0,1.0,14.0,46e33861f921c3e38b81998fbf283f01,c86352f5b57e80fe545cfec1fd8505a1,30e12d5f9c1a9ecb5db3404ec0bd34e1,96dca36640fbfbd6c31e5070329c4faf,0.9166666666666666,0.9166666666666666,2,ビジネス
69,70,1.5,3.0,2.0,1.0,30.0,f0112abf369fb03cdc5f5309300913da,bd054cc265d68a400ccb976ac69c6463,1949c8b055b9d70b4ac16eb7b046b236,81b1e44c7d4f01dd2c02fe98c31ce6b8,0.9230769230769231,0.8461538461538461,2,観光
70,71,0.0,2.0,0.0,2.0,23.0,f0112abf369fb03cdc5f5309300913da,bd054cc265d68a400ccb976ac69c6463,c3e3c099b1eec7d35ee7b851620d7158,8db3cedd254d3aeeab3521c4d1af78c5,0.8333333333333334,1.0,2,0
71,72,1.2,11.0,10.0,6.0,50.0,c312e07b7a5d456d53a5b00910a336e1,6692a692f80687411022c08e4f5a7a00,47a6f5d9f477a0af178fbba06731150b,1c2e7aacf950d7016554793c4d08d352,0.9523809523809523,0.7619047619047619,9,ビジネスミドル
72,73,1.0,1.0,2.0,0.0,10.0,e9316013ee1b03f4525fe361c46ce9c5,06a6febd7478c1aa664ed5ac87f2d560,e6437021039c8c9d53878499d7275467,7540c65a0df814abaa8bf14c5e21b371,1.0909090909090908,0.9090909090909091,1,ビジネス
73,74,1.4166666666666667,18.0,12.0,17.0,86.0,b07b75d367ebece55a23ceecc939fff4,0a66f6ab9c0507059da6f22a0e1f1690,333bcf3094c1cacf1615436a69c1bcdd,9044072e8169ea5404ab423c3307c963,0.7857142857142857,0.9642857142857143,13,観光ミドル
74,75,1.7592592592592593,100.0,54.0,40.0,191.0,c312e07b7a5d456d53a5b00910a336e1,a738e67265697437a33258b3ded0f813,efa89f059010a5d3cdc9fcc6ca8ba0ad,4a7118c6d1dcc22c7a9239569173e174,0.5818181818181818,0.45454545454545453,52,観光
75,76,1.0,3.0,3.0,4.0,10.0,321b69d5eec98fe6253e26b86058e6a9,0745a2107686fcb724892ce52f19d02e,9daed7028e9a758fd7cb761acf2ebf29,d698e0311f6df1295608be030eecee70,1.0,1.0769230769230769,3,ビジネス
76,77,1.0,1.0,1.0,3.0,12.0,46e33861f921c3e38b81998fbf283f01,c86352f5b57e80fe545cfec1fd8505a1,2e35ef11a402c4687ced0fde49e628ea,1e011cd809001193eb57ad8fcec3b67d,1.0,1.1818181818181819,1,ビジネス
77,78,0.0,1.0,0.0,0.0,20.0,8a1c0d3243bba111cbcd1ec6c692dc6d,94d4f7dc1971d3473e6ed039a323bf4d,a52a65a7a9bf3158be731eb74a480b7d,77e7313e9ba67f08245bd69ef88ae9fd,0.9090909090909091,0.9090909090909091,1,0
78,79,1.2222222222222223,26.0,9.0,16.0,562.0,f0112abf369fb03cdc5f5309300913da,072c85e1653e10c9c7dd065ad007125a,449c52ef581d5f9ef311189469a0520e,f76e14a3f2ebd4c7efd873fe9b5a02fd,0.5277777777777778,0.7222222222222222,23,ビジネスミドル
79,80,1.4,40.0,30.0,11.0,81.0,e9316013ee1b03f4525fe361c46ce9c5,66c4d01ad8e30155582cf80b1d655986,7763c74e2efa67a522125d9d3d7dde25,084c46af580a4871ae2a4921addf6e8e,0.8,0.42,28,観光ミドル
80,81,1.3380281690140845,86.0,71.0,20.0,134.0,46e33861f921c3e38b81998fbf283f01,107c7305a74c8dcc4f143de208bf7ec2,d153c8fd78bfad6faadf8e769e5cb314,93bb8a3bdcfb298251b12efa3067d44f,0.84375,0.3125,65,観光ミドル
81,82,1.415929203539823,155.0,113.0,31.0,238.0,f0112abf369fb03cdc5f5309300913da,ce3aaf25e7e38a0c42d373fb148efc86,b94b1624f29aceb6511babed280db4d7,9dff180c5e5089dfb26be591000b90f1,0.7454545454545455,0.24848484848484848,107,観光ミドル
82,83,1.4761904761904763,22.0,21.0,37.0,142.0,dc414a17890cfc17d011d5038b88ca93,31a0f630d36db568ab23c9c1cd80d1c1,93b9a2b9734f1160a0658a3c09ad1599,4ad71fbf8f3b4d1db7d8132e463b7cdf,0.96875,1.46875,14,観光
83,84,0.0,1.0,0.0,0.0,6.0,b07b75d367ebece55a23ceecc939fff4,0a66f6ab9c0507059da6f22a0e1f1690,0154defaec6c10404d20ecd556b6bd10,90480670aefd67d35d666c63075d61c4,0.9090909090909091,0.9090909090909091,1,0
84,85,1.6216216216216217,38.0,37.0,24.0,358.0,46e33861f921c3e38b81998fbf283f01,c86352f5b57e80fe545cfec1fd8505a1,30e12d5f9c1a9ecb5db3404ec0bd34e1,96dca36640fbfbd6c31e5070329c4faf,0.9791666666666666,0.7083333333333334,20,観光
85,86,1.0,1.0,2.0,1.0,14.0,3300cf6f774b7c6a5807110f244cbc21,013592a15b9a689232792f11da797ac7,3db7301525fb3bc026edf7846eae7827,b8a4aaa1954614dee2ed2422b6b670bd,1.0909090909090908,1.0,1,ビジネス
86,87,1.2,2.0,5.0,39.0,91.0,dc414a17890cfc17d011d5038b88ca93,6920865be128aa14814810654738b159,1397d4a7ab2bd0738874d42510691f79,79e675a9aad1e1e24d3215472f7fae7f,1.25,4.083333333333333,1,ビジネスミドル
87,88,1.5,11.0,2.0,7.0,11.0,e9316013ee1b03f4525fe361c46ce9c5,06a6febd7478c1aa664ed5ac87f2d560,b9957716bbd2383243d027767ae3478d,13cf57aca76b37062ca7fec63af2c476,0.5714285714285714,0.8095238095238095,8,観光
88,89,1.375,9.0,8.0,5.0,8.0,e9316013ee1b03f4525fe361c46ce9c5,517061b8165aa6370d9025951a64aa52,54a39e5929e9ff9aa9a2d6ac9545ae72,050014027d1408ea0d5bf0ed41d9e87d,0.9473684210526315,0.7894736842105263,6,観光ミドル
89,90,1.1428571428571428,16.0,14.0,18.0,33.0,b07b75d367ebece55a23ceecc939fff4,0a66f6ab9c0507059da6f22a0e1f1690,6d2a4869edc798c507684035bb015bfe,2fe1a4fb58511a0c58ccee93004fc145,0.9230769230769231,1.0769230769230769,14,ビジネスミドル
90,91,0.0,1.0,0.0,0.0,3.0,b07b75d367ebece55a23ceecc939fff4,0a66f6ab9c0507059da6f22a0e1f1690,9ab5718fd88c6e5f9fec37a51827d428,2f0d5aadbc3d9d26cf8677edb21c4845,0.9090909090909091,0.9090909090909091,1,0
91,92,1.125,6.0,8.0,5.0,37.0,b07b75d367ebece55a23ceecc939fff4,0a66f6ab9c0507059da6f22a0e1f1690,8b89009a841db66044d5a5c7e1cc132e,1295c124f6d67cee8d621b2c2b735a04,1.125,0.9375,5,ビジネスミドル
92,93,0.0,4.0,0.0,4.0,18.0,321b69d5eec98fe6253e26b86058e6a9,a2b54b288d51bb19085ed1d99c428397,f227ad5a9f2ade0b8c3c9d676b693ec4,36f9efba9310d065d4589bc3b73b487a,0.7142857142857143,1.0,4,0
93,94,1.0,4.0,2.0,0.0,54.0,46e33861f921c3e38b81998fbf283f01,107c7305a74c8dcc4f143de208bf7ec2,52c9ea83f2cfe92be54cb6bc961edf21,8bcb19738ed91018e399e139aca4d54b,0.8571428571428571,0.7142857142857143,4,ビジネス
94,95,1.16,30.0,25.0,21.0,70.0,3300cf6f774b7c6a5807110f244cbc21,689cf8289e7ea0b2eef1b017dcdfe8de,e54606f6f2083175c67d9c20ca986968,b568e5a2e25b23de9cb46e3543059ca5,0.875,0.775,27,ビジネスミドル
95,96,1.4054054054054055,38.0,37.0,112.0,228.0,e9316013ee1b03f4525fe361c46ce9c5,84efa50e52f9b471c95bfc3b21b854ad,a1370d90ed3b80ee41311bbbab46aec9,d72674f02c5340d90f245e3177727650,0.9791666666666666,2.5416666666666665,23,観光ミドル
96,97,1.2,6.0,5.0,6.0,58.0,f0112abf369fb03cdc5f5309300913da,bd054cc265d68a400ccb976ac69c6463,da698c1f0e5a8bdfac4fc3646f41aa32,1b8ee5290bf5c769b202829c2e96fffc,0.9375,1.0,5,ビジネスミドル
97,98,1.5,6.0,2.0,9.0,6.0,3300cf6f774b7c6a5807110f244cbc21,7bc5fba93082f02f1cc37b7fa264d291,6dcf6d57d82bccd837e1d803591dd456,3745ca8206f421ac7ff4ff93960fa435,0.75,1.1875,5,観光
98,99,1.0526315789473684,14.0,19.0,0.0,22.0,dc414a17890cfc17d011d5038b88ca93,6920865be128aa14814810654738b159,654d61673e3877a9ee401c820a3c0fcc,37bd7a64da78ddc62160efecd33e22c1,1.2083333333333333,0.4166666666666667,13,ビジネス
99,100,1.3125,16.0,16.0,14.0,44.0,3300cf6f774b7c6a5807110f244cbc21,7bc5fba93082f02f1cc37b7fa264d291,6dcf6d57d82bccd837e1d803591dd456,3745ca8206f421ac7ff4ff93960fa435,1.0,0.9230769230769231,12,観光ミドル
100,101,1.5035971223021583,204.0,139.0,46.0,500.0,e9316013ee1b03f4525fe361c46ce9c5,66c4d01ad8e30155582cf80b1d655986,7763c74e2efa67a522125d9d3d7dde25,084c46af580a4871ae2a4921addf6e8e,0.6962616822429907,0.2616822429906542,128,観光
